Date,nestle_price,norvatis_price
2021-07-27,114.519997,83.279999
2021-07-28,114.120003,83.980003
2021-07-29,113.699997,83.519997
2021-07-30,114.800003,83.879997
2021-08-02,114.860001,83.769997
2021-08-03,114.099998,83.480003
2021-08-04,113.559998,83.349998
2021-08-05,113.040001,83.300003
2021-08-06,112.879997,83.5
2021-08-09,113.720001,84.650002
2021-08-10,113.839996,84.809998
2021-08-11,113.900002,85.300003
2021-08-12,113.599998,85.739998
2021-08-13,114.540001,85.959999
2021-08-16,114.639999,85.910004
2021-08-17,115.940002,86.129997
